     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   22    0   90.91  90.91    20      20          22    0 0 0 0
     2   20    0   70.00  60.00    14      12          20    0 0 0 0
     3   22    0   90.91  86.36    20      19          22    0 0 0 0
     4   20    0  100.00 100.00    20      20          20    0 0 0 0
     5   45    0   97.78  84.44    44      38          45    0 0 0 0
     6   21    0   80.95  80.95    17      17          21    0 0 0 0
     7   16    0  100.00 100.00    16      16          16    0 0 0 0
     8   24    0   91.67  91.67    22      22          24    0 0 0 0
     9   22    0   95.45  90.91    21      20          22    0 0 0 0
    10   31    0   80.65  77.42    25      24          31    0 0 0 0
    11   29    0   96.55  93.10    28      27          29    0 0 0 0
    12   24    0   75.00  66.67    18      16          24    0 0 0 0
    13   22    0   95.45  95.45    21      21          22    0 0 0 0
    14   44    0   95.45  93.18    42      41          44    0 0 0 0
    15   23    0   82.61  73.91    19      17          23    0 0 0 0
    16   12    0   75.00  66.67     9       8          12    0 0 0 0
    17   35    0   82.86  68.57    29      24          35    0 0 0 0
    18   30    0  100.00  96.67    30      29          30    0 0 0 0
    19   42    0   83.33  80.95    35      34          42    0 0 0 0
    20   29    0   75.86  75.86    22      22          29    0 0 0 0
    21   13    0   69.23  61.54     9       8          13    0 0 0 0
    22   30    0   76.67  63.33    23      19          30    0 0 0 0
    23   22    0   81.82  81.82    18      18          22    0 0 0 0
    24   75    0   70.67  64.00    53      48          75    0 0 0 0
    25   26    0   76.92  76.92    20      20          26    0 0 0 0
    26   45    0   86.67  77.78    39      35          45    0 0 0 0
    27   40    0   67.50  60.00    27      24          40    0 0 0 0
    28   42    0   97.62  95.24    41      40          42    0 0 0 0
    29   21    0   76.19  76.19    16      16          21    0 0 0 0
    30   40    0   65.00  60.00    26      24          40    0 0 0 0
    31   32    0  100.00  90.62    32      29          32    0 0 0 0
    32   10    0  100.00  80.00    10       8          10    0 0 0 0
    33   22    0   95.45  90.91    21      20          22    0 0 0 0
    34   20    0   75.00  75.00    15      15          20    0 0 0 0
    35   18    0   94.44  88.89    17      16          18    0 0 0 0
    36   21    0   90.48  90.48    19      19          21    0 0 0 0
    37   26    0   88.46  88.46    23      23          26    0 0 0 0
    38   33    0   84.85  78.79    28      26          33    0 0 0 0
    39   33    0   87.88  87.88    29      29          33    0 0 0 0
    40   41    0   95.12  92.68    39      38          41    0 0 0 0
    41   46    0   95.65  86.96    44      40          46    0 0 0 0
    42   11    0  100.00 100.00    11      11          11    0 0 0 0
    43   19    0   84.21  78.95    16      15          19    0 0 0 0
    44   12    0  100.00  91.67    12      11          12    0 0 0 0
    45   17    0   94.12  88.24    16      15          17    0 0 0 0
    46    8    0   87.50  75.00     7       6           8    0 0 0 0
    47   24    0   91.67  87.50    22      21          24    0 0 0 0
    48   22    0   95.45  90.91    21      20          22    0 0 0 0


  Labeled   attachment score: 1061 / 1302 * 100 = 81.49 %
  Unlabeled attachment score: 1126 / 1302 * 100 = 86.48 %
  Label accuracy score:       1178 / 1302 * 100 = 90.48 %
