     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   22    0   90.91  90.91    20      20          22    0 0 0 0
     2   20    0   70.00  65.00    14      13          20    0 0 0 0
     3   22    0   86.36  81.82    19      18          22    0 0 0 0
     4   20    0  100.00 100.00    20      20          20    0 0 0 0
     5   45    0   93.33  82.22    42      37          45    0 0 0 0
     6   21    0   76.19  76.19    16      16          21    0 0 0 0
     7   16    0  100.00 100.00    16      16          16    0 0 0 0
     8   22    0   81.82  81.82    18      18          22    0 0 0 0
     9   31    0   90.32  87.10    28      27          31    0 0 0 0
    10   29    0   96.55  93.10    28      27          29    0 0 0 0
    11   24    0   91.67  79.17    22      19          24    0 0 0 0
    12   22    0   95.45  95.45    21      21          22    0 0 0 0
    13   23    0   86.96  78.26    20      18          23    0 0 0 0
    14   12    0   83.33  75.00    10       9          12    0 0 0 0
    15   35    0   80.00  68.57    28      24          35    0 0 0 0
    16   30    0  100.00  96.67    30      29          30    0 0 0 0
    17   42    0   78.57  76.19    33      32          42    0 0 0 0
    18   29    0   72.41  72.41    21      21          29    0 0 0 0
    19   13    0   84.62  76.92    11      10          13    0 0 0 0
    20   30    0   76.67  60.00    23      18          30    0 0 0 0
    21   22    0   77.27  77.27    17      17          22    0 0 0 0
    22   75    0   68.00  62.67    51      47          75    0 0 0 0
    23   26    0   96.15  96.15    25      25          26    0 0 0 0
    24   45    0   88.89  82.22    40      37          45    0 0 0 0
    25   40    0   65.00  60.00    26      24          40    0 0 0 0
    26   42    0   97.62  92.86    41      39          42    0 0 0 0
    27   21    0   71.43  71.43    15      15          21    0 0 0 0
    28   32    0  100.00  90.62    32      29          32    0 0 0 0
    29   10    0  100.00  80.00    10       8          10    0 0 0 0
    30   22    0   95.45  90.91    21      20          22    0 0 0 0
    31   20    0   70.00  70.00    14      14          20    0 0 0 0
    32   18    0   77.78  77.78    14      14          18    0 0 0 0
    33   21    0   95.24  95.24    20      20          21    0 0 0 0
    34   26    0   88.46  88.46    23      23          26    0 0 0 0
    35   33    0   81.82  75.76    27      25          33    0 0 0 0
    36   33    0   87.88  87.88    29      29          33    0 0 0 0
    37   41    0   95.12  87.80    39      36          41    0 0 0 0
    38   46    0   91.30  82.61    42      38          46    0 0 0 0
    39   11    0  100.00 100.00    11      11          11    0 0 0 0
    40   19    0   84.21  73.68    16      14          19    0 0 0 0
    41   17    0   94.12  88.24    16      15          17    0 0 0 0
    42    8    0   75.00  75.00     6       6           8    0 0 0 0
    43   22    0  100.00  95.45    22      21          22    0 0 0 0


  Labeled   attachment score: 940 / 1158 * 100 = 81.17 %
  Unlabeled attachment score: 997 / 1158 * 100 = 86.10 %
  Label accuracy score:       1042 / 1158 * 100 = 89.98 %
