     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   22    0   90.91  90.91    20      20          22    0 0 0 0
     2   20    0   70.00  60.00    14      12          20    0 0 0 0
     3   22    0   90.91  86.36    20      19          22    0 0 0 0
     4   20    0  100.00 100.00    20      20          20    0 0 0 0
     5   45    0   95.56  84.44    43      38          45    0 0 0 0
     6   21    0   76.19  76.19    16      16          21    0 0 0 0
     7   16    0  100.00 100.00    16      16          16    0 0 0 0
     8   22    0   86.36  81.82    19      18          22    0 0 0 0
     9   31    0   80.65  77.42    25      24          31    0 0 0 0
    10   29    0   96.55  93.10    28      27          29    0 0 0 0
    11   24    0   87.50  79.17    21      19          24    0 0 0 0
    12   22    0   95.45  95.45    21      21          22    0 0 0 0
    13   23    0   91.30  82.61    21      19          23    0 0 0 0
    14   12    0   83.33  75.00    10       9          12    0 0 0 0
    15   35    0   77.14  65.71    27      23          35    0 0 0 0
    16   30    0  100.00  96.67    30      29          30    0 0 0 0
    17   42    0   80.95  78.57    34      33          42    0 0 0 0
    18   29    0   79.31  79.31    23      23          29    0 0 0 0
    19   13    0   69.23  61.54     9       8          13    0 0 0 0
    20   30    0   80.00  66.67    24      20          30    0 0 0 0
    21   22    0   90.91  90.91    20      20          22    0 0 0 0
    22   75    0   68.00  61.33    51      46          75    0 0 0 0
    23   26    0   76.92  76.92    20      20          26    0 0 0 0
    24   45    0   86.67  80.00    39      36          45    0 0 0 0
    25   40    0   67.50  62.50    27      25          40    0 0 0 0
    26   42    0   97.62  92.86    41      39          42    0 0 0 0
    27   21    0   71.43  71.43    15      15          21    0 0 0 0
    28   32    0  100.00  93.75    32      30          32    0 0 0 0
    29   10    0  100.00  80.00    10       8          10    0 0 0 0
    30   22    0   95.45  81.82    21      18          22    0 0 0 0
    31   20    0   75.00  75.00    15      15          20    0 0 0 0
    32   18    0   94.44  88.89    17      16          18    0 0 0 0
    33   21    0   90.48  90.48    19      19          21    0 0 0 0
    34   26    0   88.46  88.46    23      23          26    0 0 0 0
    35   33    0   81.82  78.79    27      26          33    0 0 0 0
    36   33    0   87.88  87.88    29      29          33    0 0 0 0
    37   41    0   95.12  87.80    39      36          41    0 0 0 0
    38   46    0   95.65  86.96    44      40          46    0 0 0 0
    39   11    0  100.00 100.00    11      11          11    0 0 0 0
    40   19    0   84.21  78.95    16      15          19    0 0 0 0
    41   17    0   94.12  88.24    16      15          17    0 0 0 0
    42    8    0   87.50  75.00     7       6           8    0 0 0 0
    43   22    0  100.00  95.45    22      21          22    0 0 0 0


  Labeled   attachment score: 943 / 1158 * 100 = 81.43 %
  Unlabeled attachment score: 1002 / 1158 * 100 = 86.53 %
  Label accuracy score:       1036 / 1158 * 100 = 89.46 %
