     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   22    0   90.91  90.91    20      20          22    0 0 0 0
     2   20    0   70.00  65.00    14      13          20    0 0 0 0
     3   21    0   85.71  80.95    18      17          21    0 0 0 0
     4   19    0   84.21  73.68    16      14          19    0 0 0 0
     5   22    0   86.36  81.82    19      18          22    0 0 0 0
     6   28    0   85.71  82.14    24      23          28    0 0 0 0
     7   20    0  100.00 100.00    20      20          20    0 0 0 0
     8   45    0   93.33  82.22    42      37          45    0 0 0 0
     9   21    0   76.19  76.19    16      16          21    0 0 0 0
    10   16    0  100.00 100.00    16      16          16    0 0 0 0
    11   24    0   95.83  91.67    23      22          24    0 0 0 0
    12   46    0   86.96  84.78    40      39          46    0 0 0 0
    13   13    0   69.23  69.23     9       9          13    0 0 0 0
    14   49    0   91.84  87.76    45      43          49    0 0 0 0
    15   22    0   81.82  81.82    18      18          22    0 0 0 0
    16   17    0   94.12  88.24    16      15          17    0 0 0 0
    17   14    0   92.86  85.71    13      12          14    0 0 0 0
    18   18    0   94.44  83.33    17      15          18    0 0 0 0
    19   31    0   96.77  96.77    30      30          31    0 0 0 0
    20   31    0   90.32  87.10    28      27          31    0 0 0 0
    21   29    0   96.55  93.10    28      27          29    0 0 0 0
    22    9    0   88.89  77.78     8       7           9    0 0 0 0
    23   11    0  100.00  90.91    11      10          11    0 0 0 0
    24   24    0   91.67  79.17    22      19          24    0 0 0 0
    25    6    0   83.33  83.33     5       5           6    0 0 0 0
    26   13    0  100.00  92.31    13      12          13    0 0 0 0
    27    7    0  100.00 100.00     7       7           7    0 0 0 0
    28   17    0   94.12  88.24    16      15          17    0 0 0 0
    29    6    0  100.00 100.00     6       6           6    0 0 0 0
    30   24    0   87.50  87.50    21      21          24    0 0 0 0
    31   12    0  100.00  91.67    12      11          12    0 0 0 0
    32   14    0  100.00 100.00    14      14          14    0 0 0 0
    33   22    0   95.45  95.45    21      21          22    0 0 0 0
    34   12    0  100.00  91.67    12      11          12    0 0 0 0
    35   44    0   95.45  93.18    42      41          44    0 0 0 0
    36   12    0  100.00  91.67    12      11          12    0 0 0 0
    37   19    0   89.47  89.47    17      17          19    0 0 0 0
    38   23    0   86.96  78.26    20      18          23    0 0 0 0
    39   12    0   83.33  75.00    10       9          12    0 0 0 0
    40   35    0   80.00  68.57    28      24          35    0 0 0 0
    41   30    0  100.00  96.67    30      29          30    0 0 0 0
    42   42    0   78.57  76.19    33      32          42    0 0 0 0
    43   23    0   86.96  86.96    20      20          23    0 0 0 0
    44   10    0   90.00  70.00     9       7          10    0 0 0 0
    45   29    0   72.41  72.41    21      21          29    0 0 0 0
    46   13    0   84.62  76.92    11      10          13    0 0 0 0
    47   30    0   76.67  60.00    23      18          30    0 0 0 0
    48   22    0   77.27  77.27    17      17          22    0 0 0 0
    49   75    0   68.00  62.67    51      47          75    0 0 0 0
    50   26    0   96.15  96.15    25      25          26    0 0 0 0
    51   45    0   88.89  82.22    40      37          45    0 0 0 0
    52   12    0   91.67  91.67    11      11          12    0 0 0 0
    53   41    0   78.05  73.17    32      30          41    0 0 0 0
    54   40    0   65.00  60.00    26      24          40    0 0 0 0
    55    9    0   77.78  55.56     7       5           9    0 0 0 0
    56   12    0   91.67  83.33    11      10          12    0 0 0 0
    57   24    0   95.83  87.50    23      21          24    0 0 0 0
    58   32    0   68.75  65.62    22      21          32    0 0 0 0
    59   11    0   90.91  90.91    10      10          11    0 0 0 0
    60   45    0   80.00  68.89    36      31          45    0 0 0 0
    61    7    0  100.00 100.00     7       7           7    0 0 0 0
    62   25    0   92.00  84.00    23      21          25    0 0 0 0
    63   42    0   97.62  92.86    41      39          42    0 0 0 0
    64   26    0  100.00 100.00    26      26          26    0 0 0 0
    65   21    0   71.43  71.43    15      15          21    0 0 0 0
    66   40    0   52.50  50.00    21      20          40    0 0 0 0
    67   32    0  100.00  90.62    32      29          32    0 0 0 0
    68    7    0  100.00 100.00     7       7           7    0 0 0 0
    69    7    0   85.71  71.43     6       5           7    0 0 0 0
    70   10    0  100.00  80.00    10       8          10    0 0 0 0
    71   29    0   96.55  86.21    28      25          29    0 0 0 0
    72   22    0   95.45  90.91    21      20          22    0 0 0 0
    73   20    0  100.00  95.00    20      19          20    0 0 0 0
    74   17    0  100.00 100.00    17      17          17    0 0 0 0
    75   27    0   88.89  85.19    24      23          27    0 0 0 0
    76   20    0   70.00  70.00    14      14          20    0 0 0 0
    77   18    0   77.78  77.78    14      14          18    0 0 0 0
    78   21    0   95.24  95.24    20      20          21    0 0 0 0
    79   11    0   90.91  81.82    10       9          11    0 0 0 0
    80   14    0   92.86  92.86    13      13          14    0 0 0 0
    81   26    0   88.46  88.46    23      23          26    0 0 0 0
    82   33    0   81.82  75.76    27      25          33    0 0 0 0
    83   33    0   87.88  87.88    29      29          33    0 0 0 0
    84   41    0   95.12  87.80    39      36          41    0 0 0 0
