     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   22    0   90.91  90.91    20      20          22    0 0 0 0
     2   20    0   65.00  60.00    13      12          20    0 0 0 0
     3   22    0   90.91  86.36    20      19          22    0 0 0 0
     4   20    0  100.00 100.00    20      20          20    0 0 0 0
     5   45    0   95.56  84.44    43      38          45    0 0 0 0
     6   21    0   80.95  80.95    17      17          21    0 0 0 0
     7   16    0  100.00 100.00    16      16          16    0 0 0 0
     8   22    0   86.36  81.82    19      18          22    0 0 0 0
     9   31    0   93.55  90.32    29      28          31    0 0 0 0
    10   29    0   89.66  86.21    26      25          29    0 0 0 0
    11   24    0   87.50  79.17    21      19          24    0 0 0 0
    12   22    0   95.45  95.45    21      21          22    0 0 0 0
    13   23    0   86.96  78.26    20      18          23    0 0 0 0
    14   12    0   83.33  75.00    10       9          12    0 0 0 0
    15   35    0   80.00  65.71    28      23          35    0 0 0 0
    16   30    0  100.00  96.67    30      29          30    0 0 0 0
    17   42    0   83.33  80.95    35      34          42    0 0 0 0
    18   29    0   75.86  75.86    22      22          29    0 0 0 0
    19   13    0   84.62  76.92    11      10          13    0 0 0 0
    20   30    0   90.00  70.00    27      21          30    0 0 0 0
    21   22    0   81.82  81.82    18      18          22    0 0 0 0
    22   75    0   69.33  64.00    52      48          75    0 0 0 0
    23   26    0   96.15  96.15    25      25          26    0 0 0 0
    24   45    0   86.67  80.00    39      36          45    0 0 0 0
    25   40    0   65.00  60.00    26      24          40    0 0 0 0
    26   42    0   97.62  95.24    41      40          42    0 0 0 0
    27   21    0   71.43  71.43    15      15          21    0 0 0 0
    28   32    0  100.00  90.62    32      29          32    0 0 0 0
    29   10    0  100.00  80.00    10       8          10    0 0 0 0
    30   22    0  100.00  90.91    22      20          22    0 0 0 0
    31   20    0   75.00  75.00    15      15          20    0 0 0 0
    32   18    0   94.44  88.89    17      16          18    0 0 0 0
    33   21    0   90.48  90.48    19      19          21    0 0 0 0
    34   26    0   88.46  88.46    23      23          26    0 0 0 0
    35   33    0   81.82  78.79    27      26          33    0 0 0 0
    36   33    0   84.85  84.85    28      28          33    0 0 0 0
    37   41    0   95.12  90.24    39      37          41    0 0 0 0
    38   46    0   93.48  86.96    43      40          46    0 0 0 0
    39   11    0  100.00 100.00    11      11          11    0 0 0 0
    40   19    0   84.21  78.95    16      15          19    0 0 0 0
    41   17    0   94.12  88.24    16      15          17    0 0 0 0
    42    8    0   87.50  75.00     7       6           8    0 0 0 0
    43   22    0  100.00  95.45    22      21          22    0 0 0 0


  Labeled   attachment score: 954 / 1158 * 100 = 82.38 %
  Unlabeled attachment score: 1011 / 1158 * 100 = 87.31 %
  Label accuracy score:       1043 / 1158 * 100 = 90.07 %
