     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   37    0   97.30  64.86    36      24          37    0 0 0 0
     2   29    0  100.00  65.52    29      19          29    0 0 0 0
     3   33    0   87.88  57.58    29      19          33    0 0 0 0
     4   27    0  100.00  92.59    27      25          27    0 0 0 0
     5   21    0   95.24  95.24    20      20          21    0 0 0 0
     6   30    0  100.00  76.67    30      23          30    0 0 0 0
     7   39    0   92.31  71.79    36      28          39    0 0 0 0
     8   12    0  100.00  75.00    12       9          12    0 0 0 0
     9    8    0   87.50  75.00     7       6           8    0 0 0 0
    10   24    0  100.00 100.00    24      24          24    0 0 0 0
    11   37    0  100.00  89.19    37      33          37    0 0 0 0
    12   33    0   93.94  81.82    31      27          33    0 0 0 0
    13   10    0  100.00  70.00    10       7          10    0 0 0 0
    14   39    0   76.92  66.67    30      26          39    0 0 0 0
    15   23    0   86.96  82.61    20      19          23    0 0 0 0
    16   40    0   97.50  77.50    39      31          40    0 0 0 0
    17   30    0   83.33  80.00    25      24          30    0 0 0 0
    18   17    0   70.59  64.71    12      11          17    0 0 0 0
    19   13    0  100.00  92.31    13      12          13    0 0 0 0
    20   25    0   68.00  52.00    17      13          25    0 0 0 0
    21   19    0  100.00  89.47    19      17          19    0 0 0 0
    22   26    0  100.00  92.31    26      24          26    0 0 0 0
    23   37    0   97.30  89.19    36      33          37    0 0 0 0
    24   35    0  100.00  91.43    35      32          35    0 0 0 0
    25   29    0   93.10  89.66    27      26          29    0 0 0 0
    26   15    0   93.33  93.33    14      14          15    0 0 0 0
    27   23    0  100.00  82.61    23      19          23    0 0 0 0
    28   15    0  100.00  93.33    15      14          15    0 0 0 0
    29   19    0   94.74  84.21    18      16          19    0 0 0 0
    30   14    0   92.86  92.86    13      13          14    0 0 0 0
    31   21    0  100.00 100.00    21      21          21    0 0 0 0
    32   14    0  100.00 100.00    14      14          14    0 0 0 0
    33   17    0  100.00  94.12    17      16          17    0 0 0 0
    34   29    0  100.00  86.21    29      25          29    0 0 0 0
    35   14    0  100.00 100.00    14      14          14    0 0 0 0
    36   23    0   95.65  86.96    22      20          23    0 0 0 0
    37   18    0  100.00  88.89    18      16          18    0 0 0 0
    38   14    0   57.14  50.00     8       7          14    0 0 0 0
    39   41    0   95.12  90.24    39      37          41    0 0 0 0
    40   12    0  100.00 100.00    12      12          12    0 0 0 0
    41   37    0   94.59  78.38    35      29          37    0 0 0 0
    42   28    0  100.00 100.00    28      28          28    0 0 0 0
    43   37    0  100.00  94.59    37      35          37    0 0 0 0
    44   30    0   96.67  83.33    29      25          30    0 0 0 0
    45   29    0   93.10  79.31    27      23          29    0 0 0 0
    46   12    0  100.00 100.00    12      12          12    0 0 0 0
    47   28    0  100.00  96.43    28      27          28    0 0 0 0
    48   21    0  100.00  95.24    21      20          21    0 0 0 0
    49   40    0  100.00  97.50    40      39          40    0 0 0 0
    50   42    0   97.62  90.48    41      38          42    0 0 0 0
    51   30    0   96.67  93.33    29      28          30    0 0 0 0
    52    9    0  100.00 100.00     9       9           9    0 0 0 0
    53   14    0   92.86  92.86    13      13          14    0 0 0 0
    54    8    0  100.00 100.00     8       8           8    0 0 0 0
    55   10    0  100.00 100.00    10      10          10    0 0 0 0
    56   43    0   97.67  95.35    42      41          43    0 0 0 0
    57    9    0  100.00 100.00     9       9           9    0 0 0 0
    58   15    0   93.33  86.67    14      13          15    0 0 0 0
    59   47    0   97.87  93.62    46      44          47    0 0 0 0
    60   20    0  100.00 100.00    20      20          20    0 0 0 0
    61   23    0   91.30  82.61    21      19          23    0 0 0 0
    62   47    0   87.23  87.23    41      41          47    0 0 0 0
    63   38    0  100.00  94.74    38      36          38    0 0 0 0
    64   25    0   88.00  88.00    22      22          25    0 0 0 0
    65   35    0  100.00  97.14    35      34          35    0 0 0 0
    66   14    0  100.00 100.00    14      14          14    0 0 0 0
    67   13    0  100.00 100.00    13      13          13    0 0 0 0
    68    6    0   50.00  50.00     3       3           6    0 0 0 0
