     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   37    0   97.30  67.57    36      25          37    0 0 0 0
     2   29    0   96.55  62.07    28      18          29    0 0 0 0
     3   33    0   87.88  54.55    29      18          33    0 0 0 0
     4   27    0  100.00  88.89    27      24          27    0 0 0 0
     5   21    0  100.00 100.00    21      21          21    0 0 0 0
     6   30    0  100.00  76.67    30      23          30    0 0 0 0
     7   39    0   89.74  71.79    35      28          39    0 0 0 0
     8   12    0  100.00  75.00    12       9          12    0 0 0 0
     9    8    0   87.50  75.00     7       6           8    0 0 0 0
    10   24    0  100.00  91.67    24      22          24    0 0 0 0
    11   37    0  100.00  89.19    37      33          37    0 0 0 0
    12   33    0   93.94  81.82    31      27          33    0 0 0 0
    13   10    0  100.00  70.00    10       7          10    0 0 0 0
    14   39    0   79.49  66.67    31      26          39    0 0 0 0
    15   23    0   86.96  82.61    20      19          23    0 0 0 0
    16   40    0   95.00  72.50    38      29          40    0 0 0 0
    17   30    0   83.33  80.00    25      24          30    0 0 0 0
    18   17    0   70.59  64.71    12      11          17    0 0 0 0
    19   13    0  100.00  84.62    13      11          13    0 0 0 0
    20   25    0   88.00  68.00    22      17          25    0 0 0 0
    21   19    0  100.00  94.74    19      18          19    0 0 0 0
    22   26    0  100.00  92.31    26      24          26    0 0 0 0
    23   37    0  100.00  91.89    37      34          37    0 0 0 0
    24   35    0  100.00  91.43    35      32          35    0 0 0 0
    25   29    0   93.10  89.66    27      26          29    0 0 0 0
    26   15    0   93.33  93.33    14      14          15    0 0 0 0
    27   23    0  100.00  86.96    23      20          23    0 0 0 0
    28   15    0  100.00 100.00    15      15          15    0 0 0 0
    29   19    0   94.74  89.47    18      17          19    0 0 0 0
    30   14    0   92.86  92.86    13      13          14    0 0 0 0
    31   21    0  100.00 100.00    21      21          21    0 0 0 0
    32   14    0  100.00 100.00    14      14          14    0 0 0 0
    33   17    0  100.00  94.12    17      16          17    0 0 0 0
    34   29    0   96.55  86.21    28      25          29    0 0 0 0
    35   14    0   92.86  92.86    13      13          14    0 0 0 0
    36   23    0   95.65  95.65    22      22          23    0 0 0 0
    37   18    0  100.00  88.89    18      16          18    0 0 0 0
    38   14    0   57.14  50.00     8       7          14    0 0 0 0
    39   41    0   95.12  92.68    39      38          41    0 0 0 0
    40   12    0  100.00  91.67    12      11          12    0 0 0 0
    41   37    0   94.59  78.38    35      29          37    0 0 0 0
    42   28    0  100.00  96.43    28      27          28    0 0 0 0
    43   37    0  100.00  94.59    37      35          37    0 0 0 0
    44   30    0   96.67  80.00    29      24          30    0 0 0 0
    45   29    0   93.10  75.86    27      22          29    0 0 0 0
    46   12    0  100.00 100.00    12      12          12    0 0 0 0
    47   28    0  100.00  96.43    28      27          28    0 0 0 0
    48   21    0  100.00  95.24    21      20          21    0 0 0 0
    49   40    0  100.00  97.50    40      39          40    0 0 0 0
    50   42    0   97.62  92.86    41      39          42    0 0 0 0
    51   30    0   96.67  90.00    29      27          30    0 0 0 0
    52    9    0  100.00 100.00     9       9           9    0 0 0 0
    53   14    0   92.86  92.86    13      13          14    0 0 0 0
    54    8    0  100.00 100.00     8       8           8    0 0 0 0
    55   10    0  100.00 100.00    10      10          10    0 0 0 0
    56   43    0   97.67  95.35    42      41          43    0 0 0 0
    57    9    0  100.00 100.00     9       9           9    0 0 0 0
    58   15    0   93.33  80.00    14      12          15    0 0 0 0
    59   47    0   97.87  93.62    46      44          47    0 0 0 0
    60   20    0  100.00  95.00    20      19          20    0 0 0 0
    61   23    0   86.96  82.61    20      19          23    0 0 0 0
    62   47    0   89.36  89.36    42      42          47    0 0 0 0
    63   38    0  100.00  94.74    38      36          38    0 0 0 0
    64   25    0   88.00  88.00    22      22          25    0 0 0 0
    65   35    0  100.00  97.14    35      34          35    0 0 0 0
    66   14    0  100.00 100.00    14      14          14    0 0 0 0
    67   13    0  100.00 100.00    13      13          13    0 0 0 0
    68    6    0   50.00  50.00     3       3           6    0 0 0 0
    69   25    0   92.00  88.00    23      22          25    0 0 0 0
    70   17    0  100.00  94.12    17      16          17    0 0 0 0
    71   29    0   86.21  58.62    25      17          29    0 0 0 0
    72   34    0  100.00  94.12    34      32          34    0 0 0 0
