     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   36    0  100.00  75.00    36      27          36    0 0 0 0
     2   26    0  100.00  92.31    26      24          26    0 0 0 0
     3   14    0  100.00  78.57    14      11          14    0 0 0 0
     4   26    0  100.00  84.62    26      22          26    0 0 0 0
     5    7    0  100.00 100.00     7       7           7    0 0 0 0
     6   35    0  100.00  80.00    35      28          35    0 0 0 0
     7   14    0  100.00  71.43    14      10          14    0 0 0 0
     8   22    0  100.00 100.00    22      22          22    0 0 0 0
     9    9    0  100.00 100.00     9       9           9    0 0 0 0
    10   10    0  100.00  80.00    10       8          10    0 0 0 0
    11   37    0  100.00  75.68    37      28          37    0 0 0 0
    12   21    0  100.00 100.00    21      21          21    0 0 0 0
    13    8    0  100.00 100.00     8       8           8    0 0 0 0
    14   11    0  100.00  81.82    11       9          11    0 0 0 0
    15   15    0  100.00  86.67    15      13          15    0 0 0 0
    16   26    0  100.00  84.62    26      22          26    0 0 0 0
    17   12    0  100.00  91.67    12      11          12    0 0 0 0
    18   29    0   96.55  72.41    28      21          29    0 0 0 0
    19   10    0  100.00  80.00    10       8          10    0 0 0 0
    20   38    0   92.11  73.68    35      28          38    0 0 0 0
    21   37    0  100.00  67.57    37      25          37    0 0 0 0
    22   17    0  100.00  82.35    17      14          17    0 0 0 0
    23   32    0  100.00  75.00    32      24          32    0 0 0 0
    24   35    0  100.00  85.71    35      30          35    0 0 0 0
    25   15    0  100.00 100.00    15      15          15    0 0 0 0
    26   25    0  100.00  92.00    25      23          25    0 0 0 0
    27   20    0  100.00  70.00    20      14          20    0 0 0 0
    28   35    0  100.00  80.00    35      28          35    0 0 0 0
    29   42    0  100.00  88.10    42      37          42    0 0 0 0
    30   42    0   97.62  83.33    41      35          42    0 0 0 0
    31   25    0  100.00  92.00    25      23          25    0 0 0 0
    32   30    0   90.00  76.67    27      23          30    0 0 0 0
    33   14    0  100.00  92.86    14      13          14    0 0 0 0
    34   29    0  100.00  89.66    29      26          29    0 0 0 0
    35   30    0  100.00  90.00    30      27          30    0 0 0 0
    36   27    0  100.00  74.07    27      20          27    0 0 0 0
    37   16    0  100.00  93.75    16      15          16    0 0 0 0
    38   13    0  100.00  84.62    13      11          13    0 0 0 0
    39    9    0  100.00  88.89     9       8           9    0 0 0 0
    40   27    0  100.00  88.89    27      24          27    0 0 0 0
    41    9    0  100.00 100.00     9       9           9    0 0 0 0
