     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   37    0   91.89  64.86    34      24          37    0 0 0 0
     2   29    0   96.55  62.07    28      18          29    0 0 0 0
     3   33    0   81.82  51.52    27      17          33    0 0 0 0
     4   27    0   88.89  77.78    24      21          27    0 0 0 0
     5   21    0   90.48  90.48    19      19          21    0 0 0 0
     6   30    0   86.67  60.00    26      18          30    0 0 0 0
     7   39    0   79.49  58.97    31      23          39    0 0 0 0
     8   12    0   75.00  50.00     9       6          12    0 0 0 0
     9    8    0   87.50  62.50     7       5           8    0 0 0 0
    10   24    0  100.00  91.67    24      22          24    0 0 0 0
    11   37    0   89.19  78.38    33      29          37    0 0 0 0
    12   33    0   96.97  81.82    32      27          33    0 0 0 0
    13   10    0  100.00  70.00    10       7          10    0 0 0 0
    14   39    0   84.62  66.67    33      26          39    0 0 0 0
    15   23    0   82.61  60.87    19      14          23    0 0 0 0
    16   40    0   85.00  72.50    34      29          40    0 0 0 0
    17   30    0   66.67  66.67    20      20          30    0 0 0 0
    18   17    0   70.59  64.71    12      11          17    0 0 0 0
    19   13    0  100.00  69.23    13       9          13    0 0 0 0
    20   25    0   64.00  48.00    16      12          25    0 0 0 0
    21   19    0   94.74  84.21    18      16          19    0 0 0 0
    22   26    0   92.31  88.46    24      23          26    0 0 0 0
    23   37    0   86.49  78.38    32      29          37    0 0 0 0
    24   35    0   88.57  85.71    31      30          35    0 0 0 0
    25   29    0   72.41  68.97    21      20          29    0 0 0 0
    26   15    0   73.33  73.33    11      11          15    0 0 0 0
    27   23    0   95.65  78.26    22      18          23    0 0 0 0
    28   15    0   80.00  80.00    12      12          15    0 0 0 0
    29   19    0   94.74  89.47    18      17          19    0 0 0 0
    30   14    0   71.43  50.00    10       7          14    0 0 0 0
    31   21    0  100.00  90.48    21      19          21    0 0 0 0
    32   14    0  100.00 100.00    14      14          14    0 0 0 0
    33   17    0  100.00  76.47    17      13          17    0 0 0 0
    34   29    0   58.62  58.62    17      17          29    0 0 0 0
    35   14    0  100.00 100.00    14      14          14    0 0 0 0
    36   23    0   69.57  60.87    16      14          23    0 0 0 0
    37   18    0   83.33  66.67    15      12          18    0 0 0 0
    38   14    0   57.14  42.86     8       6          14    0 0 0 0
    39   41    0   85.37  73.17    35      30          41    0 0 0 0
    40   12    0  100.00  91.67    12      11          12    0 0 0 0
    41   37    0   81.08  62.16    30      23          37    0 0 0 0
    42   28    0   85.71  82.14    24      23          28    0 0 0 0
    43   37    0   89.19  83.78    33      31          37    0 0 0 0
    44   30    0   80.00  70.00    24      21          30    0 0 0 0
    45   29    0   86.21  72.41    25      21          29    0 0 0 0
    46   12    0  100.00 100.00    12      12          12    0 0 0 0
    47   28    0   89.29  85.71    25      24          28    0 0 0 0
    48   21    0   80.95  76.19    17      16          21    0 0 0 0
    49   40    0   92.50  85.00    37      34          40    0 0 0 0
    50   42    0   90.48  83.33    38      35          42    0 0 0 0
    51   30    0   93.33  83.33    28      25          30    0 0 0 0
    52    9    0  100.00 100.00     9       9           9    0 0 0 0
    53   14    0   92.86  85.71    13      12          14    0 0 0 0
    54    8    0  100.00  87.50     8       7           8    0 0 0 0
    55   10    0  100.00  90.00    10       9          10    0 0 0 0
    56   43    0   79.07  67.44    34      29          43    0 0 0 0
    57    9    0  100.00  88.89     9       8           9    0 0 0 0
    58   15    0   73.33  66.67    11      10          15    0 0 0 0
    59   47    0   82.98  76.60    39      36          47    0 0 0 0
    60   20    0   90.00  80.00    18      16          20    0 0 0 0
    61   23    0   86.96  69.57    20      16          23    0 0 0 0
    62   47    0   78.72  76.60    37      36          47    0 0 0 0
    63   38    0   94.74  86.84    36      33          38    0 0 0 0
    64   25    0   92.00  84.00    23      21          25    0 0 0 0
    65   35    0   71.43  68.57    25      24          35    0 0 0 0
    66   14    0   92.86  92.86    13      13          14    0 0 0 0
    67   13    0   92.31  84.62    12      11          13    0 0 0 0
    68    6    0   50.00  50.00     3       3           6    0 0 0 0
    69   25    0   96.00  92.00    24      23          25    0 0 0 0
    70   17    0   94.12  82.35    16      14          17    0 0 0 0
    71   29    0   86.21  58.62    25      17          29    0 0 0 0
    72   34    0   82.35  79.41    28      27          34    0 0 0 0
