     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   37    0   91.89  62.16    34      23          37    0 0 0 0
     2   29    0   93.10  58.62    27      17          29    0 0 0 0
     3   33    0   81.82  51.52    27      17          33    0 0 0 0
     4   27    0   92.59  81.48    25      22          27    0 0 0 0
     5   21    0   90.48  90.48    19      19          21    0 0 0 0
     6   30    0   86.67  60.00    26      18          30    0 0 0 0
     7   39    0   79.49  58.97    31      23          39    0 0 0 0
     8   12    0   75.00  50.00     9       6          12    0 0 0 0
     9    8    0   87.50  62.50     7       5           8    0 0 0 0
    10   24    0  100.00  91.67    24      22          24    0 0 0 0
    11   37    0   89.19  75.68    33      28          37    0 0 0 0
    12   33    0   93.94  78.79    31      26          33    0 0 0 0
    13   10    0  100.00  70.00    10       7          10    0 0 0 0
    14   39    0   82.05  69.23    32      27          39    0 0 0 0
    15   23    0   69.57  56.52    16      13          23    0 0 0 0
    16   40    0   85.00  70.00    34      28          40    0 0 0 0
    17   30    0   73.33  70.00    22      21          30    0 0 0 0
    18   17    0   70.59  64.71    12      11          17    0 0 0 0
    19   13    0  100.00  69.23    13       9          13    0 0 0 0
    20   25    0   64.00  48.00    16      12          25    0 0 0 0
    21   19    0   94.74  84.21    18      16          19    0 0 0 0
    22   26    0   88.46  84.62    23      22          26    0 0 0 0
    23   37    0   78.38  75.68    29      28          37    0 0 0 0
    24   35    0   91.43  88.57    32      31          35    0 0 0 0
    25   29    0   72.41  68.97    21      20          29    0 0 0 0
    26   15    0   73.33  73.33    11      11          15    0 0 0 0
    27   23    0   95.65  78.26    22      18          23    0 0 0 0
    28   15    0   80.00  80.00    12      12          15    0 0 0 0
    29   19    0   94.74  89.47    18      17          19    0 0 0 0
    30   14    0   71.43  50.00    10       7          14    0 0 0 0
    31   21    0   95.24  85.71    20      18          21    0 0 0 0
    32   14    0  100.00 100.00    14      14          14    0 0 0 0
    33   17    0  100.00  82.35    17      14          17    0 0 0 0
    34   29    0   58.62  55.17    17      16          29    0 0 0 0
    35   14    0  100.00 100.00    14      14          14    0 0 0 0
    36   23    0   52.17  39.13    12       9          23    0 0 0 0
    37   18    0   72.22  61.11    13      11          18    0 0 0 0
    38   14    0   57.14  50.00     8       7          14    0 0 0 0
    39   41    0   85.37  73.17    35      30          41    0 0 0 0
    40   12    0  100.00  91.67    12      11          12    0 0 0 0
    41   37    0   83.78  64.86    31      24          37    0 0 0 0
    42   28    0   85.71  82.14    24      23          28    0 0 0 0
    43   37    0   86.49  81.08    32      30          37    0 0 0 0
    44   30    0   83.33  73.33    25      22          30    0 0 0 0
    45   29    0   86.21  72.41    25      21          29    0 0 0 0
    46   12    0  100.00 100.00    12      12          12    0 0 0 0
    47   28    0   89.29  85.71    25      24          28    0 0 0 0
    48   21    0   85.71  80.95    18      17          21    0 0 0 0
    49   40    0   92.50  82.50    37      33          40    0 0 0 0
    50   42    0   83.33  73.81    35      31          42    0 0 0 0
    51   30    0   90.00  80.00    27      24          30    0 0 0 0
    52    9    0  100.00 100.00     9       9           9    0 0 0 0
    53   14    0   92.86  85.71    13      12          14    0 0 0 0
    54    8    0  100.00  87.50     8       7           8    0 0 0 0
    55   10    0  100.00  90.00    10       9          10    0 0 0 0
    56   43    0   76.74  65.12    33      28          43    0 0 0 0
    57    9    0  100.00  88.89     9       8           9    0 0 0 0
    58   15    0   86.67  73.33    13      11          15    0 0 0 0
    59   47    0   85.11  78.72    40      37          47    0 0 0 0
    60   20    0   90.00  85.00    18      17          20    0 0 0 0
    61   23    0   86.96  73.91    20      17          23    0 0 0 0
    62   47    0   78.72  76.60    37      36          47    0 0 0 0
    63   38    0   89.47  81.58    34      31          38    0 0 0 0
    64   25    0   92.00  80.00    23      20          25    0 0 0 0
    65   35    0   77.14  71.43    27      25          35    0 0 0 0
    66   14    0   92.86  92.86    13      13          14    0 0 0 0
    67   13    0  100.00  92.31    13      12          13    0 0 0 0
    68    6    0   50.00  50.00     3       3           6    0 0 0 0
    69   25    0   96.00  88.00    24      22          25    0 0 0 0
    70   17    0   94.12  82.35    16      14          17    0 0 0 0
    71   29    0   86.21  58.62    25      17          29    0 0 0 0
    72   34    0   79.41  76.47    27      26          34    0 0 0 0
    73   17    0   70.59  64.71    12      11          17    0 0 0 0
    74   30    0   90.00  76.67    27      23          30    0 0 0 0
    75   11    0  100.00 100.00    11      11          11    0 0 0 0
    76   27    0   77.78  74.07    21      20          27    0 0 0 0
    77   18    0   83.33  77.78    15      14          18    0 0 0 0
    78   31    0   70.97  61.29    22      19          31    0 0 0 0
    79   16    0   75.00  75.00    12      12          16    0 0 0 0
    80   41    0   85.37  65.85    35      27          41    0 0 0 0
    81   13    0   92.31  92.31    12      12          13    0 0 0 0
    82   16    0  100.00 100.00    16      16          16    0 0 0 0
    83   37    0   75.68  75.68    28      28          37    0 0 0 0
    84   13    0  100.00  84.62    13      11          13    0 0 0 0
    85   19    0   84.21  63.16    16      12          19    0 0 0 0
    86   14    0   85.71  71.43    12      10          14    0 0 0 0
    87   12    0   91.67  58.33    11       7          12    0 0 0 0
    88   24    0   79.17  75.00    19      18          24    0 0 0 0
    89   33    0   81.82  69.70    27      23          33    0 0 0 0
    90   11    0   72.73  72.73     8       8          11    0 0 0 0
    91    6    0  100.00  66.67     6       4           6    0 0 0 0
    92   43    0   79.07  74.42    34      32          43    0 0 0 0
    93   21    0   85.71  71.43    18      15          21    0 0 0 0
    94   23    0   95.65  78.26    22      18          23    0 0 0 0
    95   39    0   89.74  82.05    35      32          39    0 0 0 0
    96    6    0  100.00  83.33     6       5           6    0 0 0 0
    97   15    0  100.00  93.33    15      14          15    0 0 0 0
    98   16    0  100.00 100.00    16      16          16    0 0 0 0
    99    8    0   87.50  62.50     7       5           8    0 0 0 0
   100   20    0  100.00  95.00    20      19          20    0 0 0 0


  Labeled   attachment score: 1757 / 2357 * 100 = 74.54 %
  Unlabeled attachment score: 2008 / 2357 * 100 = 85.19 %
  Label accuracy score:       1931 / 2357 * 100 = 81.93 %
