     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1   15    0  100.00  92.31    13      12          13    0 0 0 0
     2   20    0   94.12  94.12    16      16          17    0 0 0 0
     3   31    0   69.23  69.23    18      18          26    0 0 0 0
     4   16    0  100.00 100.00    13      13          13    0 0 0 0
     5   10    0   66.67  66.67     4       4           6    0 0 0 0
     6    8    0  100.00  85.71     7       6           7    0 0 0 0
     7   14    0   90.00  90.00     9       9          10    0 0 0 0
     8    9    0   83.33  33.33     5       2           6    0 0 0 0
     9   12    0   70.00  50.00     7       5          10    0 0 0 0
    10    6    0   66.67  33.33     2       1           3    0 0 0 0
    11   15    0   90.00  50.00     9       5          10    0 0 0 0
    12   12    0   66.67  66.67     6       6           9    0 0 0 0
    13    9    0   66.67  66.67     4       4           6    0 0 0 0
    14   12    0  100.00  87.50     8       7           8    0 0 0 0
    15   14    0   55.56  33.33     5       3           9    0 0 0 0
    16    9    0  100.00  83.33     6       5           6    0 0 0 0
    17   11    0  100.00  57.14     7       4           7    0 0 0 0
    18    9    0  100.00  66.67     6       4           6    0 0 0 0
    19   13    0  100.00 100.00     9       9           9    0 0 0 0
    20   24    0   78.95  68.42    15      13          19    0 0 0 0
    21   22    0   83.33  72.22    15      13          18    0 0 0 0
    22    8    0  100.00  85.71     7       6           7    0 0 0 0
    23   15    0   75.00  58.33     9       7          12    0 0 0 0
    24    7    0  100.00 100.00     6       6           6    0 0 0 0
    25    8    0  100.00  80.00     5       4           5    0 0 0 0
    26    3    0  100.00 100.00     2       2           2    0 0 0 0
    27   13    0  100.00  88.89     9       8           9    0 0 0 0
    28   11    0  100.00  88.89     9       8           9    0 0 0 0
    29    9    0  100.00  80.00     5       4           5    0 0 0 0
    30    5    0  100.00 100.00     2       2           2    0 0 0 0
    31   25    0   95.65  82.61    22      19          23    0 0 0 0
    32   16    0  100.00 100.00    14      14          14    0 0 0 0
    33   19    0   88.24  82.35    15      14          17    0 0 0 0
    34   21    0   90.00  80.00    18      16          20    0 0 0 0
    35    8    0   42.86  42.86     3       3           7    0 0 0 0
    36   21    0   94.44  83.33    17      15          18    0 0 0 0
    37   26    0   81.82  77.27    18      17          22    0 0 0 0
    38   19    0   92.86  57.14    13       8          14    0 0 0 0
    39   11    0   85.71  71.43     6       5           7    0 0 0 0
    40    8    0   80.00  80.00     4       4           5    0 0 0 0
    41    7    0  100.00  75.00     4       3           4    0 0 0 0
    42    7    0  100.00  75.00     4       3           4    0 0 0 0
    43   37    0   84.85  75.76    28      25          33    0 0 0 0
    44   11    0  100.00 100.00     7       7           7    0 0 0 0
    45    5    0   50.00  50.00     1       1           2    0 0 0 0
    46   22    0   81.25  62.50    13      10          16    0 0 0 0
    47    9    0  100.00 100.00     6       6           6    0 0 0 0
    48    8    0  100.00 100.00     5       5           5    0 0 0 0
    49    4    0  100.00 100.00     3       3           3    0 0 0 0
    50   10    0  100.00  66.67     6       4           6    0 0 0 0
    51    8    0  100.00 100.00     7       7           7    0 0 0 0
    52    9    0   40.00  40.00     2       2           5    0 0 0 0
    53   22    0   71.43  66.67    15      14          21    0 0 0 0
    54   12    0  100.00  90.91    11      10          11    0 0 0 0
    55   15    0  100.00  84.62    13      11          13    0 0 0 0
