     Sent.          Attachment      Correct        Scoring          
    ID Tokens  -   Unlab. Lab.   HEAD HEAD+DEPREL   tokens   - - - -
  ============================================================================
     1    4    0  100.00 100.00     4       4           4    0 0 0 0
     2   11    0  100.00  90.91    11      10          11    0 0 0 0
     3   17    0   94.12  88.24    16      15          17    0 0 0 0
     4    9    0  100.00 100.00     9       9           9    0 0 0 0
     5    9    0  100.00 100.00     9       9           9    0 0 0 0
     6   11    0  100.00 100.00    11      11          11    0 0 0 0
     7   65    0   69.23  64.62    45      42          65    0 0 0 0
     8   11    0   81.82  81.82     9       9          11    0 0 0 0
     9   15    0   93.33  86.67    14      13          15    0 0 0 0
    10   20    0   90.00  85.00    18      17          20    0 0 0 0
    11   12    0  100.00  83.33    12      10          12    0 0 0 0
    12   12    0   91.67  91.67    11      11          12    0 0 0 0
    13    2    0  100.00 100.00     2       2           2    0 0 0 0
    14   24    0   95.83  95.83    23      23          24    0 0 0 0
    15   17    0   64.71  58.82    11      10          17    0 0 0 0
    16    2    0  100.00 100.00     2       2           2    0 0 0 0
    17   15    0  100.00  93.33    15      14          15    0 0 0 0
    18   10    0   90.00  80.00     9       8          10    0 0 0 0
    19   11    0   90.91  72.73    10       8          11    0 0 0 0
    20   20    0   80.00  75.00    16      15          20    0 0 0 0
    21   26    0   69.23  61.54    18      16          26    0 0 0 0
    22    8    0   75.00  75.00     6       6           8    0 0 0 0
    23   20    0   80.00  80.00    16      16          20    0 0 0 0
    24    7    0  100.00 100.00     7       7           7    0 0 0 0
    25   16    0   87.50  81.25    14      13          16    0 0 0 0
    26    6    0  100.00 100.00     6       6           6    0 0 0 0
    27   15    0  100.00  93.33    15      14          15    0 0 0 0
    28   12    0   83.33  83.33    10      10          12    0 0 0 0
    29   20    0   85.00  75.00    17      15          20    0 0 0 0
    30    5    0  100.00 100.00     5       5           5    0 0 0 0
    31   27    0   88.89  85.19    24      23          27    0 0 0 0
    32   17    0   94.12  88.24    16      15          17    0 0 0 0
    33   11    0  100.00 100.00    11      11          11    0 0 0 0
    34    2    0  100.00 100.00     2       2           2    0 0 0 0
    35    8    0  100.00 100.00     8       8           8    0 0 0 0
    36   15    0   66.67  60.00    10       9          15    0 0 0 0
    37   22    0  100.00  95.45    22      21          22    0 0 0 0
    38   13    0   92.31  92.31    12      12          13    0 0 0 0
    39   16    0   81.25  75.00    13      12          16    0 0 0 0
    40   16    0   87.50  81.25    14      13          16    0 0 0 0
    41   30    0   80.00  80.00    24      24          30    0 0 0 0
    42   25    0   64.00  64.00    16      16          25    0 0 0 0
    43    3    0  100.00 100.00     3       3           3    0 0 0 0
    44   20    0   95.00  80.00    19      16          20    0 0 0 0
    45   16    0   81.25  75.00    13      12          16    0 0 0 0
    46   22    0   95.45  86.36    21      19          22    0 0 0 0
    47   15    0   93.33  86.67    14      13          15    0 0 0 0
    48   10    0  100.00  90.00    10       9          10    0 0 0 0
    49   23    0   91.30  82.61    21      19          23    0 0 0 0
    50    4    0  100.00  75.00     4       3           4    0 0 0 0
    51   16    0  100.00 100.00    16      16          16    0 0 0 0
    52    8    0  100.00  87.50     8       7           8    0 0 0 0
    53    1    0  100.00 100.00     1       1           1    0 0 0 0
    54    7    0  100.00 100.00     7       7           7    0 0 0 0
    55   18    0  100.00 100.00    18      18          18    0 0 0 0
    56   14    0   85.71  78.57    12      11          14    0 0 0 0
    57   16    0   93.75  81.25    15      13          16    0 0 0 0
    58    1    0  100.00 100.00     1       1           1    0 0 0 0
    59   18    0   72.22  61.11    13      11          18    0 0 0 0
    60   30    0   93.33  90.00    28      27          30    0 0 0 0
    61    1    0  100.00 100.00     1       1           1    0 0 0 0
    62    6    0  100.00 100.00     6       6           6    0 0 0 0
    63    8    0  100.00 100.00     8       8           8    0 0 0 0
    64   10    0  100.00 100.00    10      10          10    0 0 0 0
    65   29    0   86.21  86.21    25      25          29    0 0 0 0
    66   13    0  100.00  84.62    13      11          13    0 0 0 0
    67   18    0  100.00  88.89    18      16          18    0 0 0 0
    68   11    0   90.91  81.82    10       9          11    0 0 0 0
    69   15    0   93.33  93.33    14      14          15    0 0 0 0
    70   12    0   91.67  83.33    11      10          12    0 0 0 0
    71   11    0  100.00  81.82    11       9          11    0 0 0 0
    72   26    0   80.77  69.23    21      18          26    0 0 0 0
    73   19    0   68.42  57.89    13      11          19    0 0 0 0
    74    1    0  100.00 100.00     1       1           1    0 0 0 0
    75   11    0   90.91  81.82    10       9          11    0 0 0 0
    76   15    0   93.33  93.33    14      14          15    0 0 0 0
    77    7    0  100.00 100.00     7       7           7    0 0 0 0
    78   14    0  100.00  85.71    14      12          14    0 0 0 0
    79   10    0   90.00  90.00     9       9          10    0 0 0 0
    80    1    0  100.00 100.00     1       1           1    0 0 0 0
    81    6    0  100.00 100.00     6       6           6    0 0 0 0
    82   15    0  100.00 100.00    15      15          15    0 0 0 0
    83    6    0  100.00 100.00     6       6           6    0 0 0 0
    84   14    0   78.57  71.43    11      10          14    0 0 0 0
    85   10    0   90.00  80.00     9       8          10    0 0 0 0
    86   10    0   90.00  80.00     9       8          10    0 0 0 0
    87    1    0  100.00 100.00     1       1           1    0 0 0 0
    88   11    0   90.91  81.82    10       9          11    0 0 0 0
    89   20    0   90.00  85.00    18      17          20    0 0 0 0
    90   14    0   85.71  78.57    12      11          14    0 0 0 0
    91   17    0   88.24  82.35    15      14          17    0 0 0 0
    92   17    0   76.47  64.71    13      11          17    0 0 0 0
    93    1    0  100.00 100.00     1       1           1    0 0 0 0
