,Arabic,Bulgarian,Chinese,Czech,Danish,Dutch,German,Japanese,Portuguese,Slovene,Spanish,Swedish,Turkish,Avg,Std. dev.
Canisius,57.64,78.74,78.37,60.92,77.90,74.59,77.56,87.41,77.42,59.19,68.32,79.15,51.07,70.80,11.11
Attardi,53.81,72.89,54.89,59.76,66.35,58.24,69.77,65.38,75.36,57.19,67.44,68.77,37.80,61.23,9.92
Wu,63.81,79.73,74.81,59.36,78.38,68.45,76.52,90.11,81.47,67.83,72.99,71.72,55.09,71.71,9.67
Carreras,60.94,83.30,83.68,68.82,79.74,67.25,82.41,88.13,83.37,68.43,77.16,78.65,58.06,74.72,9.72
Yuret,52.42,73.49,72.72,51.86,71.56,62.75,63.82,84.35,70.35,55.06,69.63,65.23,60.31,65.01,9.46
Bick,55.37,79.21,76.18,63.02,74.61,69.51,74.74,84.75,78.18,64.31,71.37,74.09,53.87,70.00,9.25
Nivre,66.71,87.41,86.92,78.42,84.77,78.59,85.82,91.65,87.60,70.30,81.29,84.58,65.68,80.19,8.53
Schiehlen,44.39,0.00,66.20,53.34,76.05,72.11,68.73,83.35,71.01,50.72,46.96,71.10,49.81,62.81,13.01
Ma,50.74,67.64,75.29,58.52,77.70,59.36,68.11,70.84,71.13,57.21,65.08,63.83,41.72,63.29,10.42
Dreyer,53.37,74.81,71.63,60.54,66.61,61.56,70.97,82.87,75.28,58.73,67.62,67.58,46.05,65.23,9.93
O'Neil,66.71,85.24,86.70,76.60,82.83,77.51,85.36,90.57,84.69,71.08,79.82,81.78,57.52,78.43,9.38
Do,60.92,0.00,85.05,72.88,80.60,72.91,84.17,89.07,83.99,69.52,79.72,82.31,60.51,76.80,9.43
Johansson,64.29,0.00,72.49,71.46,81.54,72.67,80.43,85.63,84.57,66.43,78.16,78.13,63.39,74.93,7.65
McDonald,66.91,87.57,85.90,80.18,84.79,79.19,87.34,90.71,86.82,73.44,82.25,82.55,63.19,80.27,8.43
Riedel,66.65,0.00,89.96,67.44,83.63,78.59,86.24,90.51,84.43,71.20,77.38,80.66,58.61,77.94,10.05
Sagae,62.71,0.00,84.73,75.24,81.56,76.61,84.92,90.37,86.01,69.06,77.68,82.00,63.21,77.84,8.95
Shimizu,62.83,0.00,0.00,0.00,75.81,0.00,0.00,0.00,0.00,64.57,73.17,79.49,54.23,34.18,36.26
Corston-Oliver,63.53,83.36,79.92,74.48,81.74,71.43,83.47,89.95,84.59,72.42,80.36,79.69,61.74,76.94,8.47
Cheng,65.19,86.34,84.27,76.24,81.72,71.77,84.11,89.91,85.07,71.42,80.46,81.08,61.22,77.70,8.67
Agerage,59.94,79.98,78.32,67.17,78.31,70.73,78.58,85.86,80.63,65.16,73.52,76.44,55.95,,
Std. dev.,6.53,6.30,8.82,8.93,5.45,6.66,7.51,7.09,5.83,6.78,8.41,6.46,7.71,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
